10.30		0.00		1532.50		2850.75		3635.25		1878.50		765.00		118.50
10.30		0.00		1509.75		2621.25		3703.25		1545.75		762.25		143.75
10.30		0.00		1566.00		2918.25		4089.00		1970.75		848.00		154.75
10.30		0.00		1551.50		2913.75		4259.75		1753.25		863.75		179.50
10.30		0.00		1666.75		3086.00		4756.75		2157.00		1040.25		209.25
10.30		0.00		1532.50		2928.50		4530.50		1799.50		926.50		232.50
10.30		0.00		1625.50		2776.50		4097.25		2150.25		1030.75		248.50
10.20		0.00		1593.00		2748.00		3655.75		1662.75		1040.25		0.00
10.30		0.00		1714.50		2491.25		4699.25		2050.50		1168.75		300.75
10.30		0.00		1589.00		2273.50		4585.25		1395.50		995.00		226.00
10.00		1.00		1098.00		2245.50		2413.00		1062.50		0.00		78.00
10.00		0.00		1076.25		2075.00		2550.25		1095.50		39.25		107.75
10.00		36.75		1055.00		2052.00		2624.00		1289.00		0.00		116.00
9.90		0.00		946.75		2032.25		2970.25		1386.00		5.25		90.75
9.90		81.75		882.25		1988.25		3263.00		1122.50		0.00		141.25
10.00		209.00		900.50		1984.00		3303.25		1356.25		0.00		240.50
9.90		172.00		782.50		1987.25		3616.50		1083.75		0.00		170.50
9.90		214.75		723.00		2000.50		3184.75		1081.25		0.00		180.25
9.90		587.00		728.50		2200.25		3737.75		1087.25		0.00		126.50
9.80		887.75		1519.75		1834.50		1571.00		989.00		0.00		1099.50
9.80		1013.25		1568.50		1792.75		1510.00		952.00		0.00		916.75
9.80		1007.75		1517.50		1860.50		1732.75		1245.00		0.00		893.75
9.80		1098.75		1528.50		1822.50		1727.25		1234.00		0.00		936.00
9.80		1280.75		1554.25		1836.50		1920.50		1096.75		0.00		969.75
9.80		1411.25		1550.00		1847.25		2133.75		1124.25		0.00		984.25
9.80		1607.75		1548.75		1824.00		2431.25		1168.00		0.00		1007.25
9.80		1747.25		1526.50		2080.75		2768.00		1202.75		0.00		994.25
9.80		2085.50		0.00		2863.25		8888.25		1837.50		108.00		1298.25
9.80		2013.00		1507.25		1938.00		3268.50		1024.50		0.00		977.50
9.80		2377.50		1575.25		1909.75		3139.25		1029.25		0.00		1012.25
9.60		1563.50		1846.75		1472.00		804.00		563.00		0.00		1169.75
9.60		1809.50		1915.00		1353.25		652.25		453.75		0.00		1229.00
9.60		1930.25		1962.50		1314.25		626.00		435.25		0.00		1247.25
9.60		1973.50		1970.50		1355.50		753.00		519.50		0.00		1245.75
9.60		2154.50		2128.25		1318.25		795.75		567.25		0.00		1262.75
9.60		2306.75		2035.50		1345.25		1020.25		738.50		0.00		1269.50
9.60		2434.25		2031.25		1382.00		1246.00		689.25		0.00		1273.75
9.60		2720.75		1888.50		1251.00		1098.50		722.25		0.00		1312.50
